cohort,dimension,category,period,numerator,denominator,share,ci_low,ci_high,registered_status,claim_gate,note
DIS,procedural_posture_mix,DEFAULT_JUDGMENT,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,DISCOVERY,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,MOTION_TO_DISMISS,P2,16,40,0.400000,0.250000,0.550000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER_PROCEDURAL,P2,1,40,0.025000,0.000000,0.075000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,PRELIMINARY_INJUNCTION,P2,2,40,0.050000,0.000000,0.125000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SETTLEMENT_CONSENT,P2,0,40,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SUMMARY_JUDGMENT,P2,13,40,0.325000,0.175000,0.475000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,TRIAL,P2,1,40,0.025000,0.000000,0.075000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,ADMINISTRATIVE_REVIEW,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,APPEAL,P3,15,81,0.185185,0.111111,0.271605,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,DEFAULT_JUDGMENT,P3,2,81,0.024691,0.000000,0.061728,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,DISCOVERY,P3,1,81,0.012346,0.000000,0.037037,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,MOTION_TO_DISMISS,P3,25,81,0.308642,0.209877,0.407407,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER,P3,2,81,0.024691,0.000000,0.061728,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,OTHER_PROCEDURAL,P3,7,81,0.086420,0.037037,0.148148,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,PRELIMINARY_INJUNCTION,P3,5,81,0.061728,0.012346,0.123457,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SETTLEMENT_CONSENT,P3,0,81,0.000000,0.000000,0.000000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,SUMMARY_JUDGMENT,P3,23,81,0.283951,0.185185,0.382716,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,procedural_posture_mix,TRIAL,P3,1,81,0.012346,0.000000,0.037037,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_false,P1,45,176,0.255682,0.193182,0.318182,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_true,P1,131,176,0.744318,0.681818,0.806818,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_false,P2,9,40,0.225000,0.100000,0.350000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_true,P2,31,40,0.775000,0.650000,0.900000,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_false,P3,25,81,0.308642,0.209877,0.407407,registered,APPENDIX-READY,featured represented decided disability cohort
DIS,section_504_ra_overlay_share,is_ra_case_true,P3,56,81,0.691358,0.592593,0.790123,registered,APPENDIX-READY,featured represented decided disability cohort
RACE-DT,bucket_mix,DT-PURE,P1,33,42,0.785714,0.642857,0.904762,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,MIXED,P1,1,42,0.023810,0.000000,0.071429,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,OTHER,P1,8,42,0.190476,0.071429,0.309524,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,RD-PURE,P1,0,42,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,DT-PURE,P2,8,10,0.800000,0.500000,1.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,MIXED,P2,2,10,0.200000,0.000000,0.500000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,OTHER,P2,0,10,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,RD-PURE,P2,0,10,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,DT-PURE,P3,17,19,0.894737,0.736842,1.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,MIXED,P3,0,19,0.000000,0.000000,0.000000,disclosed,APPENDIX-READY,thin represented context cohort
RACE-DT,bucket_mix,OTHER,P3,2,19,0.105263,0.000000,0.263158,disclosed,APPENDIX-READY,thin represented context cohort
